threat_id,type,severity,description,indicators
252,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
253,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
254,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, hostname, BitcoinAddress, FileHash-SHA256"
255,denial-of-service,3,Denial-of-service threat detected. IP compromised.,FileHash-MD5
256,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
257,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-SHA256"
258,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-MD5
259,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
260,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
261,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
262,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
263,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, URL, hostname"
264,ransomware,3,Ransomware threat detected. File Hash compromised.,FileHash-SHA256
265,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
266,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-MD5, URL, FileHash-SHA256"
267,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
268,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, URL, FileHash-SHA256"
269,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
270,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, hostname, FileHash-SHA1"
271,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-SHA1, hostname"
272,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
273,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, hostname"
274,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-MD5, URL"
275,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, CVE"
276,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, BitcoinAddress, hostname"
277,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
278,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, hostname, FileHash-SHA256"
279,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
280,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, URL, hostname"
281,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
282,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
283,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
284,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
285,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
286,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, hostname"
287,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, hostname, FileHash-SHA256, FileHash-SHA1, CVE"
288,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
289,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
290,denial-of-service,5,Denial-of-service threat detected. IP compromised.,FileHash-SHA256
291,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
292,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"YARA, FileHash-SHA256"
293,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1"
294,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, hostname, FileHash-SHA1, FileHash-SHA256, URL, BitcoinAddress"
295,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, email"
296,phishing,1,Phishing threat detected. URL compromised.,"CVE, FileHash-SHA256"
297,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, email, BitcoinAddress"
298,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, URL, FileHash-SHA256"
299,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, hostname"
300,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,domain
301,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, hostname, URL"
302,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
303,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
304,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
305,phishing,1,Phishing threat detected. URL compromised.,FileHash-SHA256
306,phishing,5,Phishing threat detected. URL compromised.,"domain, hostname, URL, FileHash-SHA256"
307,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, URL"
308,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
309,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
310,phishing,3,Phishing threat detected. URL compromised.,domain
311,social-engineering,5,Social engineering threat detected. URL compromised.,"URL, FileHash-SHA256"
312,social-engineering,1,Social engineering threat detected. URL compromised.,
313,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-MD5, hostname, FileHash-SHA256, FileHash-SHA1, CVE"
314,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
315,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
316,denial-of-service,3,Denial-of-service threat detected. IP compromised.,domain
317,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
318,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
319,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
320,phishing,3,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5"
321,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
322,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
323,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
324,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
325,phishing,1,Phishing threat detected. URL compromised.,"CVE, domain"
326,phishing,1,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
327,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
328,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"CVE, FileHash-SHA1"
329,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, URL, hostname"
330,denial-of-service,5,Denial-of-service threat detected. IP compromised.,domain
331,ransomware,3,Ransomware threat detected. File Hash compromised.,"YARA, FileHash-SHA256"
332,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
333,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"CVE, hostname, URL, FileHash-SHA256"
334,phishing,5,Phishing threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
335,social-engineering,1,Social engineering threat detected. URL compromised.,FileHash-SHA1
336,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"hostname, URL, FileHash-SHA256"
337,social-engineering,5,Social engineering threat detected. URL compromised.,"hostname, FileHash-SHA256"
338,ransomware,1,Ransomware threat detected. File Hash compromised.,"CVE, URL"
339,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-SHA256"
340,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
341,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, hostname, URL, CVE"
342,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
343,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, URL, FileHash-SHA1, FileHash-SHA256"
344,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, email, hostname, URL"
345,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"URL, hostname"
346,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, URL, hostname"
347,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
348,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
349,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE, YARA"
350,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
351,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
352,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
353,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, email, FileHash-SHA256, hostname, URL, BitcoinAddress, YARA"
354,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
355,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
356,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
357,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,domain
358,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
359,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-SHA1"
360,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
361,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
362,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, CVE"
363,phishing,1,Phishing threat detected. URL compromised.,FileHash-SHA256
364,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
365,ransomware,3,Ransomware threat detected. File Hash compromised.,domain
366,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, hostname, URL, FileHash-SHA256"
367,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
368,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
369,phishing,3,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
370,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, YARA"
371,ransomware,5,Ransomware threat detected. File Hash compromised.,FileHash-SHA1
372,denial-of-service,5,Denial-of-service threat detected. IP compromised.,FileHash-SHA1
373,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-SHA256"
374,social-engineering,3,Social engineering threat detected. URL compromised.,domain
375,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-SHA256"
376,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-SHA256"
377,ransomware,3,Ransomware threat detected. File Hash compromised.,FileHash-SHA256
378,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
379,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
380,denial-of-service,1,Denial-of-service threat detected. IP compromised.,FileHash-SHA1
381,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
382,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, domain, FileHash-SHA1"
383,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
384,phishing,5,Phishing threat detected. URL compromised.,"hostname, FileHash-SHA1"
385,social-engineering,5,Social engineering threat detected. URL compromised.,domain
386,ransomware,3,Ransomware threat detected. File Hash compromised.,hostname
387,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
388,denial-of-service,5,Denial-of-service threat detected. IP compromised.,FileHash-MD5
389,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE, YARA"
390,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-MD5, hostname, FileHash-SHA256, FileHash-SHA1, CVE"
391,denial-of-service,1,Denial-of-service threat detected. IP compromised.,domain
392,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
393,social-engineering,5,Social engineering threat detected. URL compromised.,hostname
394,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
395,social-engineering,5,Social engineering threat detected. URL compromised.,"CVE, URL, domain, FileHash-SHA256"
396,social-engineering,1,Social engineering threat detected. URL compromised.,"CVE, FileHash-MD5, FileHash-SHA256"
397,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
398,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, hostname, FileHash-SHA256"
399,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
400,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"YARA, FileHash-SHA256"
401,phishing,1,Phishing threat detected. URL compromised.,hostname
402,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,domain
403,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, URL"
404,phishing,3,Phishing threat detected. URL compromised.,"domain, URL, FileHash-SHA256"
405,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
406,phishing,3,Phishing threat detected. URL compromised.,FileHash-SHA1
407,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, CVE"
408,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, hostname, FileHash-SHA256, URL"
409,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, YARA, hostname"
410,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, IPv4, YARA"
411,phishing,3,Phishing threat detected. URL compromised.,"domain, email, URL, hostname"
412,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
413,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
414,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
415,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, hostname, URL"
416,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, hostname"
417,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
418,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL, YARA"
419,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, URL, FileHash-SHA256"
420,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
421,denial-of-service,3,Denial-of-service threat detected. IP compromised.,FileHash-MD5
422,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, URL, hostname"
423,ransomware,3,Ransomware threat detected. File Hash compromised.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
424,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
425,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
426,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
427,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, URL"
428,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
429,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
430,social-engineering,3,Social engineering threat detected. URL compromised.,"CVE, domain"
431,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
432,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
433,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
434,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, YARA"
435,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
436,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"CVE, URL, FileHash-SHA256"
437,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, URL"
438,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
439,ransomware,5,Ransomware threat detected. File Hash compromised.,FileHash-SHA256
440,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-SHA256"
441,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, URL"
442,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1, URL"
443,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
444,ransomware,3,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
445,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, hostname, YARA, FileHash-SHA256"
446,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, URL"
447,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"CVE, URL, FileHash-SHA256"
448,phishing,1,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
449,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-MD5, email, FileHash-SHA256, FileHash-SHA1, URL, YARA"
450,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
451,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, BitcoinAddress, FileHash-SHA1"
452,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-SHA256"
453,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
454,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, URL"
455,ransomware,5,Ransomware threat detected. File Hash compromised.,"URL, FileHash-SHA256"
456,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
457,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
458,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, URL, FileHash-SHA256"
459,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, URL, hostname"
460,phishing,3,Phishing threat detected. URL compromised.,"hostname, FileHash-SHA1"
461,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
462,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
463,ransomware,1,Ransomware threat detected. File Hash compromised.,"URL, hostname"
464,phishing,5,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, CVE, YARA"
465,phishing,1,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
466,social-engineering,1,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
467,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
468,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-SHA256"
469,ransomware,1,Ransomware threat detected. File Hash compromised.,"URL, FileHash-SHA256"
470,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
471,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
472,social-engineering,1,Social engineering threat detected. URL compromised.,"FileHash-MD5, hostname, FileHash-SHA256, FileHash-SHA1, CVE"
473,ransomware,5,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
474,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
475,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, URL"
476,phishing,5,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
477,ransomware,1,Ransomware threat detected. File Hash compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL, CVE"
478,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, URL, FileHash-SHA1"
479,social-engineering,3,Social engineering threat detected. URL compromised.,"domain, hostname"
480,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"email, URL, FileHash-SHA256"
481,ransomware,3,Ransomware threat detected. File Hash compromised.,"FileHash-MD5, URL"
482,botnet,5,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
483,social-engineering,3,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
484,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
485,ransomware,3,Ransomware threat detected. File Hash compromised.,FileHash-SHA256
486,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
487,denial-of-service,3,Denial-of-service threat detected. IP compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
488,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname"
489,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
490,denial-of-service,1,Denial-of-service threat detected. IP compromised.,"domain, FileHash-SHA256, hostname, FileHash-SHA1, YARA"
491,social-engineering,5,Social engineering threat detected. URL compromised.,
492,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, YARA, FileHash-SHA1"
493,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"CVE, FileHash-MD5, FileHash-SHA256, FileHash-SHA1"
494,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
495,ransomware,3,Ransomware threat detected. File Hash compromised.,"CVE, BitcoinAddress, FileHash-SHA256"
496,phishing,1,Phishing threat detected. URL compromised.,"FileHash-MD5, hostname"
497,denial-of-service,5,Denial-of-service threat detected. IP compromised.,FileHash-MD5
498,phishing,3,Phishing threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, hostname, FileHash-SHA1"
499,botnet,3,Botnet threat detected. IP compromised and communication patterns observed.,FileHash-SHA256
500,social-engineering,5,Social engineering threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, hostname, FileHash-SHA1"
501,social-engineering,5,Social engineering threat detected. URL compromised.,"FileHash-SHA256, FileHash-MD5, domain, FileHash-SHA1"
502,botnet,1,Botnet threat detected. IP compromised and communication patterns observed.,"FileHash-MD5, URL, hostname"
503,ransomware,5,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
504,denial-of-service,5,Denial-of-service threat detected. IP compromised.,"domain, URL"
505,phishing,1,Phishing threat detected. URL compromised.,"domain, URL, hostname"
506,ransomware,1,Ransomware threat detected. File Hash compromised.,"FileHash-SHA256, FileHash-MD5, FileHash-SHA1"
507,phishing,3,Phishing threat detected. URL compromised.,"domain, FileHash-MD5, FileHash-SHA256, FileHash-SHA1, hostname, URL"
508,phishing,3,Phishing threat detected. URL compromised.,"CVE, FileHash-MD5"
